,TSO_Hokkaido,TSO_Tohoku,TSO_Tokyo,TSO_Hokuriku,TSO_Chubu,TSO_Chugoku,TSO_Kansai,TSO_Shikoku,TSO_Kyushu,TSO_Okinawa
2019/1/1 0:00,-4.047,-9.58,-30.17,-3.413,-12.714,-6.783,-15.254,-3.24,-9.618,-0.7022
2019/1/1 1:00,-4.166,-9.69,-28.49,-3.465,-12.362,-6.753,-14.677,-3.28,-9.565,-0.6831
2019/1/1 2:00,-4.244,-9.85,-27.3,-3.559,-12.082,-6.807,-14.508,-3.36,-9.687,-0.6917
2019/1/1 3:00,-4.349,-9.94,-26.36,-3.578,-11.754,-6.83,-14.155,-3.35,-9.73,-0.7
2019/1/1 4:00,-4.392,-9.86,-25.79,-3.501,-11.395,-6.647,-13.592,-3.27,-9.551,-0.6914
2019/1/1 5:00,-4.284,-9.62,-25.92,-3.282,-11.141,-6.27,-12.998,-3.06,-9.156,-0.6537
2019/1/1 6:00,-4.103,-9.29,-27.26,-3.049,-11.31,-6.189,-13.077,-2.87,-8.808,-0.6194
2019/1/1 7:00,-3.707,-8.8,-29.05,-2.906,-11.957,-6.392,-13.789,-2.89,-9.05,-0.6383
2019/1/1 8:00,-3.556,-8.93,-30.14,-2.86,-12.683,-6.754,-14.772,-2.96,-9.373,-0.6696
2019/1/1 9:00,-3.363,-8.8,-28.86,-2.807,-12.138,-6.518,-14.584,-2.72,-9.362,-0.6883
2019/1/1 10:00,-3.254,-8.42,-27.13,-2.677,-11.285,-6.045,-13.822,-2.56,-9.058,-0.7035
2019/1/1 11:00,-3.204,-8.21,-25.64,-2.616,-10.646,-5.842,-13.193,-2.45,-8.931,-0.6898
2019/1/1 12:00,-3.175,-8.18,-24.72,-2.543,-10.321,-5.683,-12.785,-2.45,-8.759,-0.6977
2019/1/1 13:00,-3.184,-8.1,-24.21,-2.512,-10.007,-5.535,-12.625,-2.43,-8.562,-0.7138
2019/1/1 14:00,-3.271,-8.05,-24.26,-2.543,-9.876,-5.583,-12.895,-2.41,-8.422,-0.7077
2019/1/1 15:00,-3.452,-8.36,-25.01,-2.593,-10.12,-5.606,-13.144,-2.52,-8.588,-0.7022
2019/1/1 16:00,-3.62,-9.03,-27.36,-2.743,-10.91,-5.965,-13.636,-2.71,-8.949,-0.7033
2019/1/1 17:00,-3.762,-9.72,-30.52,-2.948,-12.239,-6.446,-14.851,-2.98,-9.772,-0.7296
2019/1/1 18:00,-3.794,-9.74,-31.41,-2.977,-12.51,-6.592,-15.194,-3.07,-10.063,-0.7743
2019/1/1 19:00,-3.772,-9.55,-31.6,-2.956,-12.555,-6.499,-15.126,-3.04,-9.923,-0.7729
2019/1/1 20:00,-3.765,-9.49,-31.66,-2.957,-12.55,-6.442,-15.015,-3,-9.82,-0.7634
2019/1/1 21:00,-3.778,-9.34,-31.33,-2.953,-12.35,-6.308,-14.859,-2.93,-9.639,-0.7459
2019/1/1 22:00,-3.677,-8.94,-30.11,-2.989,-11.722,-5.956,-14.255,-2.78,-9.266,-0.7167
2019/1/1 23:00,-3.819,-9.13,-28.83,-3.134,-11.435,-5.781,-13.798,-2.72,-8.843,-0.6879
2019/1/2 0:00,-3.805,-8.89,-26.87,-3.104,-10.774,-5.716,-13.006,-2.68,-8.311,-0.6503
2019/1/2 1:00,-3.927,-9.15,-25.62,-3.161,-10.555,-5.743,-12.654,-2.75,-8.334,-0.6359
2019/1/2 2:00,-4.099,-9.37,-25.08,-3.335,-10.624,-6.072,-12.861,-2.94,-8.738,-0.6472
