,C01  ,C02 ,C03 ,C04 ,C05 ,C06 ,C07 ,C08 ,C09 ,C10 ,C11 ,C12 ,C13 ,C14 ,C15 ,C16 
s001 ,,1,,,,4,,,,,,2,,,,3
s002 ,,,,,,,,,1,3,,,2,,4,  
s003 ,4,,,,1,3,,2,,,,,,,,  
s004 ,,,,,,4,,,,2,1,,,,3,  
s005 ,2,,,,,1,3,,,,,,,,4,  
s006 ,,2,,4,,,,3,,,,1,,,,  
s007 ,,,,,1,4,,,2,3,,,,,,  
s008 ,3,,,,1,,,,2,,,,4,,,  
s009 ,,,,,,4,,3,,1,,2,,,,  
s010 ,,,,,,1,,2,,,,3,,,,4
s011 ,4,,,,3,,,,,,,1,,,,2
s012 ,,,1,,,,4,,,,2,3,,,,  
s013 ,,,,,,,,4,,2,,1,,,,3
s014 ,2,,,3,1,,,,4,,,,,,,  
s015 ,1,,,3,,,,4,,,,2,,,,  
s016 ,,2,,,1,,4,,,,3,,,,,  
s017 ,,,,,,1,,4,,2,,,,,,3
s018 ,4,,,,3,,,,,,,1,,,,2
s019 ,,4,,,,3,,,,,2,1,,,,  
s020 ,,,,,3,1,,,,,,2,,,,4
s021 ,,1,,,,4,,,,,,2,,,,3
s022 ,,,,,1,,,3,2,,,,4,,,  
s023 ,2,,,,,,,1,,,,3,4,,,  
s024 ,,1,,2,,3,,4,,,,,,,,  
s025 ,4,,,,2,,,3,,,,,,,,1
s026 ,4,1,,,,,,,,,,2,,,,3
s027 ,,3,,,,,,,,,2,1,,,,4
s028 ,,,,,,,2,1,,,4,3,,,,  
s029 ,,3,,4,,1,,2,,,,,,,,  
s030 ,,2,,,1,,3,,,,,,,,4,  
s031 ,,,,,,,,,,3,2,1,,,,4
s032 ,4,,,,3,,,,,,,1,,,,2
s033 ,2,,,,1,,,4,,,,3,,,,  
s034 ,,2,,1,,,,,,,,3,,4,,  
s035 ,,,,3,,,,1,,,,2,,,,4
s036 ,,,,,,3,,4,1,2,,,,,,  
s037 ,,2,,,,1,,,,,3,,,,4,  
s038 ,,1,,,,4,,,,,3,2,,,,  
s039 ,,,,,,3,,,,1,,,,2,,4
s040 ,,4,3,,,,,,,2,,1,,,,  
s041 ,,,,2,,,,1,,,,3,,,4,  
s042 ,,2,,,,,,,,,,4,,1,,3
s043 ,,1,,4,,2,,,,,,,,,,3
s044 ,,,,,1,3,,2,,,,,4,,,  
s045 ,,,,,,2,,,,1,,3,,,,4
s046 ,,,,4,,1,,2,,3,,,,,,  
s047 ,4,,,,2,,,,1,,,,,,3,  
s048 ,,,,,,,,3,,1,,,4,2,,  
s049 ,,,,,,2,,,,,1,4,,,3,  
s050 ,4,3,,,,1,2,,,,,,,,,  
s051 ,,,,,,2,,3,,1,,4,,,,  
s052 ,,,,,4,3,,,,2,,,,1,,  
s053 ,,,,,1,,,,3,,2,,,,4,  
s054 ,3,,,,1,,,,2,,,,,,4,  
s055 ,,3,,,,1,,2,,,,4,,,,  
s056 ,,,,,,4,,2,,,,3,,,,1
s057 ,4,,,,1,,2,,,,3,,,,,  
s058 ,2,,,,,1,,4,,,,,,,,3
s059 ,,,,,,2,,3,,1,,,,4,,  
s060 ,,,,,,3,,4,1,2,,,,,,  
s061 ,,2,,,,4,,,,,3,1,,,,  
s062 ,,,,,,1,,2,,,,3,,,,4
s063 ,2,,3,,,,,,,,1,,,4,,  
s064 ,,,,,,3,,4,,,,1,,,,2
s065 ,,4,,,,2,,,,,1,3,,,,  
s066 ,,2,,,,1,,,,4,,3,,,,  
s067 ,,,,4,,,,3,,1,,,,2,,  
s068 ,,3,,,,1,,,,,,2,,,,4
s069 ,,,2,,,,4,,,,,,1,,3,  
s070 ,4,,,,3,,,,,,,2,,,,1
s071 ,,1,,3,,,,,,2,,4,,,,  
s072 ,,1,,,,2,,,,4,,3,,,,  
s073 ,,4,,,,,,,,,,1,,3,,2
s074 ,2,,3,,,,4,,,,1,,,,,  
s075 ,4,2,,,3,1,,,,,,,,,,  
s076 ,,3,,,,2,,,,1,,4,,,,  
s077 ,4,,,,1,,,3,,,,2,,,,  
s078 ,4,,,,3,,,2,,,,1,,,,  
s079 ,,,,2,1,,,,,,3,,,,,4
s080 ,,,,,,,,3,,2,,1,,4,,  
s081 ,,,,3,,,,1,,,,2,,,,4
s082 ,,,,4,,,,3,,,,2,,,,1
s083 ,,,,,,1,,2,,3,,,,4,,  
s084 ,,1,,2,,3,,4,,,,,,,,  
s085 ,,,,,,2,,,,,,4,,1,,3
s086 ,,3,,,,,,,,2,,4,,1,,  
s087 ,,3,,,,,,4,1,,,2,,,,  
s088 ,,,3,,,2,,,,1,,,,4,,  
s089 ,3,4,,,2,1,,,,,,,,,,  
s090 ,,2,,,,1,,,,3,,4,,,,
